36.171,36.243,36.315,36.387,36.459,36.531,36.603,36.675,36.747,36.819,36.891,36.963,37.035,37.106,37.178,37.25,37.322,37.394,37.466,37.538,37.61,37.682,37.754,37.826,37.898,37.97,38.042,38.114,38.186,38.257,38.329,38.401,38.473
36.172,36.244,36.316,36.387,36.459,36.531,36.603,36.675,36.747,36.819,36.891,36.963,37.035,37.107,37.179,37.251,37.323,37.395,37.467,37.539,37.61,37.682,37.754,37.826,37.898,37.97,38.042,38.114,38.186,38.258,38.33,38.402,38.474
36.172,36.244,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.819,36.891,36.963,37.035,37.107,37.179,37.251,37.323,37.395,37.467,37.539,37.611,37.683,37.755,37.827,37.899,37.97,38.042,38.114,38.186,38.258,38.33,38.402,38.474
36.172,36.244,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.107,37.179,37.251,37.323,37.395,37.467,37.539,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.258,38.33,38.402,38.474
36.172,36.244,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.108,37.18,37.252,37.324,37.395,37.467,37.539,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.259,38.331,38.403,38.474
36.173,36.245,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.108,37.18,37.252,37.324,37.396,37.468,37.539,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.259,38.331,38.403,38.475
36.173,36.245,36.317,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.108,37.18,37.252,37.324,37.396,37.468,37.54,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.259,38.331,38.403,38.475
36.173,36.245,36.317,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.108,37.18,37.252,37.324,37.396,37.468,37.54,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.259,38.331,38.403,38.475
36.173,36.245,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.108,37.18,37.252,37.324,37.396,37.468,37.539,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.259,38.331,38.403,38.475
36.172,36.244,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.108,37.18,37.252,37.324,37.395,37.467,37.539,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.259,38.331,38.403,38.474
36.172,36.244,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.82,36.892,36.964,37.036,37.107,37.179,37.251,37.323,37.395,37.467,37.539,37.611,37.683,37.755,37.827,37.899,37.971,38.043,38.115,38.187,38.258,38.33,38.402,38.474
36.172,36.244,36.316,36.388,36.46,36.532,36.604,36.676,36.748,36.819,36.891,36.963,37.035,37.107,37.179,37.251,37.323,37.395,37.467,37.539,37.611,37.683,37.755,37.827,37.899,37.97,38.042,38.114,38.186,38.258,38.33,38.402,38.474
