14.178,14.178,14.156,14.152,14.166,14.191,14.211,14.202,14.163,14.117,14.095,14.076,14.123,14.368,14.606,14.676,14.482,14.064,13.46,13.292,13.538,13.637,13.598,13.581,13.611,13.652,13.684,13.695,13.67,13.608,13.528,13.453,13.399
14.209,14.266,14.274,14.27,14.261,14.237,14.204,14.155,14.087,14.01,13.952,13.953,14.08,14.393,14.614,14.625,14.401,13.936,13.31,13.255,13.512,13.61,13.575,13.556,13.557,13.558,13.557,13.546,13.52,13.484,13.444,13.406,13.366
14.217,14.269,14.307,14.31,14.305,14.26,14.179,14.081,13.978,13.88,13.813,13.856,14.085,14.434,14.618,14.536,14.231,13.702,13.158,13.194,13.472,13.574,13.541,13.533,13.53,13.513,13.496,13.478,13.455,13.424,13.382,13.321,13.233
14.294,14.256,14.269,14.26,14.271,14.266,14.213,14.101,13.965,13.851,13.795,13.863,14.165,14.508,14.622,14.424,14.007,13.425,13.002,13.1,13.42,13.53,13.483,13.478,13.488,13.473,13.447,13.413,13.365,13.3,13.217,13.117,13.007
14.453,14.325,14.263,14.205,14.181,14.186,14.19,14.157,14.061,13.939,13.878,13.987,14.303,14.591,14.594,14.288,13.783,13.175,12.818,12.967,13.353,13.491,13.41,13.366,13.371,13.353,13.315,13.261,13.186,13.093,12.986,12.872,12.762
14.585,14.429,14.32,14.238,14.191,14.172,14.152,14.139,14.119,14.06,14.048,14.17,14.457,14.636,14.513,14.135,13.606,12.954,12.597,12.794,13.254,13.467,13.37,13.243,13.193,13.149,13.088,13.013,12.928,12.837,12.747,12.667,12.607
14.561,14.402,14.25,14.131,14.132,14.201,14.252,14.255,14.214,14.188,14.222,14.33,14.564,14.621,14.407,14.016,13.476,12.73,12.379,12.61,13.096,13.439,13.424,13.233,13.086,12.986,12.891,12.804,12.732,12.685,12.672,12.691,12.731
14.349,14.194,14.074,14.016,14.07,14.178,14.248,14.291,14.351,14.358,14.344,14.429,14.604,14.583,14.342,13.971,13.356,12.512,12.257,12.503,12.876,13.334,13.533,13.425,13.241,13.119,13.022,12.944,12.9,12.884,12.875,12.87,12.831
14.19,14.169,14.165,14.145,14.194,14.352,14.432,14.308,14.287,14.355,14.379,14.476,14.626,14.574,14.341,13.99,13.247,12.352,12.261,12.557,12.72,13.077,13.49,13.628,13.575,13.507,13.458,13.395,13.328,13.261,13.172,12.981,12.594
14.264,14.332,14.347,14.275,14.259,14.493,14.698,14.515,14.257,14.236,14.301,14.503,14.66,14.59,14.393,14.071,13.215,12.281,12.287,12.694,12.863,12.892,13.221,13.632,13.728,13.683,13.663,13.657,13.612,13.417,13.079,12.763,12.361
14.4,14.505,14.463,14.325,14.275,14.544,14.826,14.712,14.336,14.215,14.334,14.569,14.659,14.6,14.511,14.235,13.332,12.302,12.226,12.697,13.044,13.125,13.183,13.458,13.689,13.711,13.652,13.629,13.651,13.524,13.004,12.378,11.9
14.511,14.561,14.509,14.385,14.319,14.582,14.869,14.813,14.514,14.345,14.467,14.559,14.537,14.577,14.689,14.488,13.67,12.493,12.109,12.46,12.939,13.226,13.354,13.44,13.484,13.474,13.537,13.59,13.686,13.556,12.911,12.031,11.323
14.523,14.546,14.547,14.451,14.365,14.614,14.868,14.831,14.661,14.53,14.482,14.316,14.141,14.272,14.684,14.719,14.265,13.062,12.18,12.085,12.416,12.745,12.912,12.976,13.067,13.269,13.519,13.646,13.598,13.303,12.59,11.643,10.817
14.578,14.571,14.585,14.49,14.39,14.599,14.764,14.711,14.598,14.401,14.069,13.741,13.643,13.797,14.164,14.571,14.683,14.084,12.895,12.077,11.861,11.992,12.2,12.376,12.636,12.852,13.027,13.082,12.916,12.506,11.83,11.04,10.449
14.601,14.604,14.612,14.503,14.394,14.492,14.465,14.258,13.935,13.573,13.318,13.415,13.831,14.129,14.149,14.336,14.628,14.468,13.77,13.019,12.092,11.556,11.66,11.711,11.896,11.98,12.041,12.033,11.831,11.481,11.031,10.624,10.508
14.531,14.575,14.606,14.491,14.366,14.27,13.915,13.456,13.129,12.985,13.122,13.524,14.099,14.574,14.603,14.557,14.686,14.679,13.821,12.625,12.149,11.882,11.629,11.296,11.325,11.313,11.203,11.122,10.957,10.773,10.623,10.595,0
14.546,14.537,14.564,14.458,14.305,14.016,13.487,12.996,12.764,12.741,12.83,13.129,13.803,14.563,14.889,14.848,14.859,14.813,13.888,12.305,11.684,11.519,11.117,11.025,11.042,10.931,10.791,10.764,10.716,10.746,0,0,0
14.688,14.623,14.565,14.436,14.243,13.762,13.092,12.655,12.449,12.361,12.303,12.408,12.945,13.918,14.663,14.848,14.892,14.653,13.651,12.239,11.619,11.465,11.194,10.896,10.676,10.58,0,0,0,0,0,0,0
14.722,14.729,14.61,14.43,14.26,13.777,12.976,12.532,12.387,12.353,12.27,12.07,12.074,12.886,13.949,14.386,14.391,13.905,12.682,11.414,11.1,11.039,10.804,10.532,10.434,10.476,0,0,0,0,0,0,0
14.681,14.741,14.606,14.416,14.309,13.942,13.103,12.607,12.586,12.777,12.92,12.619,11.821,11.935,12.934,13.482,13.424,12.943,11.927,11.149,10.885,10.694,10.558,10.493,10.566,0,0,0,0,0,0,0,0
14.66,14.624,14.51,14.409,14.406,14.174,13.429,12.826,12.805,13.065,13.241,13.16,12.247,11.526,12.159,12.692,12.537,12.22,11.613,11.271,11.153,11.026,10.859,10.875,0,0,0,0,0,0,0,0,0
